Provider ID|Hospital overall rating|Hospital overall rating footnote|Mortality national comparison|Mortality national comparison footnote|Safety of care national comparison|Safety of care national comparison footnote|Readmission national comparison|Readmission national comparison footnote|Patient experience national comparison|Patient experience national comparison footnote|Effectiveness of care national comparison|Effectiveness of care national comparison footnote|Timeliness of care national comparison|Timeliness of care national comparison footnote|Efficient use of medical imaging national comparison|Efficient use of medical imaging national comparison footnote
30071|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
30073|3|This hospitals star rating only includes data reported on inpatient services|Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Below the national average||Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
30074|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
30077|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
30084|3|This hospitals star rating only includes data reported on inpatient services|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Below the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
31305|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
31308|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs
31309|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period
40007|2||Below the national average||Below the national average||Below the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
40018|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
40050|4||Same as the national average||Same as the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
40154|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
41324|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
41328|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Same as the national average||Same as the national average||Below the national average|
50054|2||Same as the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Not Available|Results are not available for this reporting period
50103|3||Above the national average||Below the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
50138|3|This hospitals star rating only includes data reported on inpatient services|Not Available|Results are not available for this reporting period|Below the national average||Same as the national average||Below the national average||Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
50145|5||Same as the national average||Same as the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Above the national average|
50224|4||Above the national average||Above the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Below the national average|
50280|3||Below the national average||Above the national average||Above the national average||Below the national average||Same as the national average||Below the national average||Above the national average|
50309|4||Same as the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Below the national average||Above the national average|
50488|3||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average|
50547|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs
50567|3||Same as the national average||Below the national average||Above the national average||Below the national average||Same as the national average||Below the national average||Below the national average|
50684|2||Same as the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Not Available|Results are not available for this reporting period
50717|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
51310|4|This hospitals star rating only includes data reported on inpatient services|Same as the national average||Same as the national average||Same as the national average||Above the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
51317|2|This hospitals star rating only includes data reported on inpatient services|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Below the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
53302|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
53306|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs
61325|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
61326|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
70006|3||Above the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Above the national average|
70029|3||Same as the national average||Above the national average||Below the national average||Above the national average||Same as the national average||Same as the national average||Above the national average|
80003|4||Same as the national average||Above the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
100054|4||Same as the national average||Above the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Below the national average|
100137|2||Same as the national average||Same as the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
100183|3||Same as the national average||Above the national average||Below the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
100204|3||Above the national average||Above the national average||Below the national average||Below the national average||Same as the national average||Same as the national average||Above the national average|
100209|3||Same as the national average||Above the national average||Below the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
100244|2||Same as the national average||Below the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Below the national average|
21301|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
21304|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
21307|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
110030|4||Same as the national average||Above the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
110038|3||Same as the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Below the national average||Below the national average|
110041|3||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
110128|3||Same as the national average||Below the national average||Same as the national average||Above the national average||Same as the national average||Above the national average||Below the national average|
111313|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
111335|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
113301|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs
120028|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
130013|4||Same as the national average||Above the national average||Above the national average||Below the national average||Same as the national average||Above the national average||Same as the national average|
140007|2||Above the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average|
131323|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
140002|3||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Above the national average|
140015|3||Below the national average||Below the national average||Below the national average||Above the national average||Same as the national average||Same as the national average||Above the national average|
140018|2||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
140052|3||Same as the national average||Same as the national average||Below the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
140118|2||Above the national average||Same as the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
140191|3||Above the national average||Above the national average||Below the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
140210|3||Same as the national average||Not Available|Results are not available for this reporting period|Below the national average||Same as the national average||Same as the national average||Above the national average||Below the national average|
140258|4||Above the national average||Below the national average||Above the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average|
140286|4||Same as the national average||Above the national average||Above the national average||Same as the national average||Above the national average||Above the national average||Same as the national average|
141302|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
141306|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
141328|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
141346|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
141349|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
143300|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs
143301|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs
150069|4||Same as the national average||Above the national average||Same as the national average||Above the national average||Same as the national average||Above the national average||Same as the national average|
150089|3||Same as the national average||Above the national average||Above the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
150128|4||Same as the national average||Above the national average||Above the national average||Same as the national average||Above the national average||Same as the national average||Above the national average|
160089|3||Same as the national average||Below the national average||Above the national average||Below the national average||Same as the national average||Above the national average||Below the national average|
161377|4|This hospitals star rating only includes data reported on inpatient services|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
170166|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
171303|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs
171312|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
171318|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
171322|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
171324|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
171338|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average|
171344|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Above the national average||Not Available|Results are not available for this reporting period
171356|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
171373|2||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period|Above the national average||Same as the national average|
171382|3|This hospitals star rating only includes data reported on inpatient services|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
180010|2||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
180079|4||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Same as the national average||Above the national average||Same as the national average|
180080|3||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
190116|2||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average||Same as the national average||Below the national average|
190144|4||Same as the national average||Same as the national average||Above the national average||Above the national average||Same as the national average||Above the national average||Same as the national average|
190145|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average|
190266|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Above the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
200033|2||Below the national average||Same as the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Above the national average|
191318|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Same as the national average||Not Available|Results are not available for this reporting period|Below the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
