ZIP|City/Location Name|STATE|County Name|Zip Code Designation
99627|MC Grath|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99630|Mekoryuk|AK|BETHEL|Low Income Area/HPSA
99926|Metlakatla|AK|PRINCE OF WALES |Low Income Area/HPSA
99903|Meyers Chuck|AK|Wrangell City and Borough|Low Income Area
99758|Minto|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99632|Mountain Village|AK|WADE HAMPTON|Low Income Area/HPSA
99634|Napakiak|AK|BETHEL|Low Income Area/HPSA
99760|Nenana|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99636|New Stuyahok|AK|DILLINGHAM|Low Income Area/HPSA
99691|Nikolai|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99638|Nikolski|AK|ALEUTIANS WEST|Low Income Area/HPSA
99639|Ninilchik|AK|KENAI PENINSULA|Low Income Area
99762|Nome|AK|NOME|HPSA
99640|Nondalton|AK|LAKE AND PENINSULA|Low Income Area/HPSA
99763|Noorvik|AK|NORTHWEST ARTIC|Low Income Area/HPSA
99705|North Pole|AK|FAIRBANKS NORTH STAR|HPSA
99789|Nuiqsut|AK|NORTH SLOPE|Low Income Area/HPSA
99765|Nulato|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99647|Pedro Bay|AK|LAKE AND PENINSULA|Low Income Area/HPSA
99648|Perryville|AK|LAKE AND PENINSULA|Low Income Area/HPSA
99649|Pilot Point|AK|LAKE AND PENINSULA|Low Income Area/HPSA
99651|Platinum|AK|BETHEL|Low Income Area/HPSA
99927|Point Baker|AK|PRINCE OF WALES |Low Income Area/HPSA
99766|Point Hope|AK|NORTH SLOPE|Low Income Area/HPSA
99759|Point Lay|AK|NORTH SLOPE|Low Income Area/HPSA
99653|Port Alsworth|AK|LAKE AND PENINSULA|Low Income Area/HPSA
99549|Port Heiden|AK|LAKE AND PENINSULA|Low Income Area/HPSA
99734|Prudhoe Bay|AK|NORTH SLOPE|HPSA
99655|Quinhagak|AK|BETHEL|Low Income Area/HPSA
99656|Red Devil|AK|BETHEL|Low Income Area/HPSA
99768|Ruby|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99657|Russian Mission|AK|WADE HAMPTON|Low Income Area/HPSA
99591|Saint George Island|AK|ALEUTIANS WEST|Low Income Area/HPSA
99658|Saint Marys|AK|WADE HAMPTON|Low Income Area/HPSA
99659|Saint Michael|AK|NOME|Low Income Area/HPSA
99660|Saint Paul Island|AK|ALEUTIANS WEST|Low Income Area/HPSA
99714|Salcha|AK|FAIRBANKS NORTH STAR|Low Income Area/HPSA
99661|Sand Point|AK|ALEUTIANS EAST|Low Income Area/HPSA
99769|Savoonga|AK|NOME|Low Income Area/HPSA
99662|Scammon Bay|AK|WADE HAMPTON|Low Income Area/HPSA
99665|Shageluk|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99771|Shaktoolik|AK|NOME|Low Income Area/HPSA
99772|Shishmaref|AK|NOME|Low Income Area/HPSA
99840|Skagway|AK|Skagway|Low Income Area/HPSA
99668|Sleetmute|AK|BETHEL|Low Income Area/HPSA
99670|South Naknek|AK|BRISTOL BAY BOROUGH|HPSA
99671|Stebbins|AK|NOME|Low Income Area/HPSA
99676|Talkeetna|AK|MATANUSKA-SUSITNA|Low Income Area/HPSA
99777|Tanana|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99778|Teller|AK|NOME|Low Income Area/HPSA
99919|Thorne Bay|AK|PRINCE OF WALES |Low Income Area/HPSA
99780|Tok|AK|SOUTHEAST FAIRBANKS|Low Income Area/HPSA
99679|Tuluksak|AK|BETHEL|Low Income Area/HPSA
99681|Tununak|AK|BETHEL|Low Income Area/HPSA
99682|Tyonek|AK|KENAI PENINSULA|Low Income Area
99684|Unalakleet|AK|NOME|Low Income Area/HPSA
99685|Unalaska|AK|ALEUTIANS WEST|Low Income Area/HPSA
99686|Valdez|AK|VALDZ-CHITNA-WHITIER |HPSA
99781|Venetie|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99782|Wainwright|AK|NORTH SLOPE|Low Income Area/HPSA
99783|Wales|AK|NOME|Low Income Area/HPSA
99784|White Mountain|AK|NOME|Low Income Area/HPSA
99688|Willow|AK|MATANUSKA-SUSITNA|HPSA
99929|Wrangell|AK|Wrangell City and Borough|Low Income Area
99689|Yakutat|AK|YAKUTAT BOROUGH |HPSA
36310|Abbeville|AL|HENRY|Low Income Area/HPSA
35005|Adamsville|AL|JEFFERSON|Low Income Area
35540|Addison|AL|WINSTON|Low Income Area/HPSA
35006|Adger|AL|JEFFERSON|HPSA
35441|Akron|AL|HALE|Low Income Area/HPSA
36720|Alberta|AL|WILCOX|Low Income Area/HPSA
35950|Albertville|AL|MARSHALL|Low Income Area/HPSA
35951|Albertville|AL|MARSHALL|Low Income Area/HPSA
35010|Alexander City|AL|TALLAPOOSA|Low Income Area/HPSA
36250|Alexandria|AL|CALHOUN|Low Income Area
35442|Aliceville|AL|PICKENS|Low Income Area/HPSA
35014|Alpine|AL|TALLADEGA|Low Income Area/HPSA
35952|Altoona|AL|ETOWAH|Low Income Area/HPSA
36420|Andalusia|AL|COVINGTON|Low Income Area/HPSA
36421|Andalusia|AL|COVINGTON|Low Income Area
35610|Anderson|AL|LAUDERDALE|HPSA
36201|Anniston|AL|CALHOUN|Low Income Area
36205|Anniston|AL|CALHOUN|Low Income Area
36206|Anniston|AL|CALHOUN|Low Income Area
35016|Arab|AL|MARSHALL|Low Income Area/HPSA
35739|Ardmore|AL|LIMESTONE|Low Income Area/HPSA
36311|Ariton|AL|DALE|Low Income Area/HPSA
35541|Arley|AL|WINSTON|Low Income Area/HPSA
36722|Arlington|AL|WILCOX|Low Income Area/HPSA
36312|Ashford|AL|HOUSTON|Low Income Area/HPSA
36251|Ashland|AL|CLAY|Low Income Area/HPSA
35953|Ashville|AL|ST. CLAIR|Low Income Area
35611|Athens|AL|LIMESTONE|Low Income Area/HPSA
35614|Athens|AL|LIMESTONE|Low Income Area/HPSA
35613|Athens|AL|LIMESTONE|HPSA
36502|Atmore|AL|ESCAMBIA|Low Income Area/HPSA
35954|Attalla|AL|ETOWAH|Low Income Area/HPSA
36830|Auburn|AL|LEE|Low Income Area/HPSA
36832|Auburn|AL|LEE|Low Income Area/HPSA
36849|Auburn University|AL|LEE|Low Income Area/HPSA
36003|Autaugaville|AL|AUTAUGA|Low Income Area/HPSA
36505|Axis|AL|MOBILE|HPSA
35019|Baileyton|AL|CULLMAN|Low Income Area/HPSA
36005|Banks|AL|PIKE|Low Income Area/HPSA
35542|Bankston|AL|FAYETTE|Low Income Area/HPSA
36507|Bay Minette|AL|BALDWIN|Low Income Area/HPSA
36509|Bayou la Batre|AL|MOBILE|Low Income Area/HPSA
35543|Bear Creek|AL|MARION|Low Income Area
36425|Beatrice|AL|MONROE|Low Income Area/HPSA
35544|Beaverton|AL|LAMAR|Low Income Area/HPSA
35546|Berry|AL|FAYETTE|Low Income Area/HPSA
35020|Bessemer|AL|JEFFERSON|Low Income Area/HPSA
35022|Bessemer|AL|JEFFERSON|HPSA
36006|Billingsley|AL|AUTAUGA|Low Income Area/HPSA
35203|Birmingham|AL|JEFFERSON|Low Income Area/HPSA
35204|Birmingham|AL|JEFFERSON|Low Income Area/HPSA
35205|Birmingham|AL|JEFFERSON|Low Income Area/HPSA
35206|Birmingham|AL|JEFFERSON|Low Income Area/HPSA
35207|Birmingham|AL|JEFFERSON|Low Income Area/HPSA
35208|Birmingham|AL|JEFFERSON|Low Income Area/HPSA
35209|Birmingham|AL|JEFFERSON|Low Income Area/HPSA
35211|Birmingham|AL|JEFFERSON|Low Income Area/HPSA
35212|Birmingham|AL|JEFFERSON|Low Income Area/HPSA
35214|Birmingham|AL|JEFFERSON|Low Income Area/HPSA
35215|Birmingham|AL|JEFFERSON|Low Income Area/HPSA
35217|Birmingham|AL|JEFFERSON|Low Income Area/HPSA
35218|Birmingham|AL|JEFFERSON|Low Income Area/HPSA
35221|Birmingham|AL|JEFFERSON|Low Income Area/HPSA
35222|Birmingham|AL|JEFFERSON|Low Income Area/HPSA
35224|Birmingham|AL|JEFFERSON|Low Income Area/HPSA
35228|Birmingham|AL|JEFFERSON|Low Income Area/HPSA
35233|Birmingham|AL|JEFFERSON|Low Income Area/HPSA
35234|Birmingham|AL|JEFFERSON|Low Income Area/HPSA
35254|Birmingham|AL|JEFFERSON|Low Income Area/HPSA
35210|Birmingham|AL|JEFFERSON|HPSA
36314|Black|AL|GENEVA|Low Income Area/HPSA
35031|Blountsville|AL|BLOUNT|Low Income Area/HPSA
35957|Boaz|AL|MARSHALL|Low Income Area/HPSA
35956|Boaz|AL|ETOWAH|Low Income Area/HPSA
35443|Boligee|AL|GREENE|Low Income Area/HPSA
36511|Bon Secour|AL|BALDWIN|Low Income Area/HPSA
36009|Brantley|AL|CRENSHAW|Low Income Area/HPSA
35033|Bremen|AL|CULLMAN|Low Income Area/HPSA
35034|Brent|AL|BIBB|Low Income Area/HPSA
36426|Brewton|AL|ESCAMBIA|Low Income Area/HPSA
35740|Bridgeport|AL|JACKSON|Low Income Area/HPSA
35035|Brierfield|AL|BIBB|Low Income Area/HPSA
35548|Brilliant|AL|MARION|Low Income Area
35444|Brookwood|AL|TUSCALOOSA|HPSA
36010|Brundidge|AL|PIKE|Low Income Area
35958|Bryant|AL|JACKSON|Low Income Area/HPSA
35446|Buhl|AL|TUSCALOOSA|Low Income Area/HPSA
36401|Burnt Corn|AL|CONECUH|Low Income Area/HPSA
36904|Butler|AL|CHOCTAW|Low Income Area/HPSA
35040|Calera|AL|SHELBY|HPSA
36726|Camden|AL|WILCOX|Low Income Area/HPSA
36850|Camp Hill|AL|TALLAPOOSA|Low Income Area/HPSA
36727|Campbell|AL|CLARKE|Low Income Area/HPSA
35549|Carbon Hill|AL|WALKER|Low Income Area/HPSA
36515|Carlton|AL|CLARKE|Low Income Area/HPSA
35447|Carrollton|AL|PICKENS|Low Income Area/HPSA
36432|Castleberry|AL|CONECUH|Low Income Area/HPSA
36728|Catherine|AL|WILCOX|Low Income Area/HPSA
36013|Cecil|AL|MONTGOMERY|Low Income Area/HPSA
35959|Cedar Bluff|AL|CHEROKEE|Low Income Area/HPSA
35960|Centre|AL|CHEROKEE|Low Income Area/HPSA
35042|Centreville|AL|BIBB|Low Income Area/HPSA
36316|Chancellor|AL|GENEVA|Low Income Area/HPSA
36518|Chatom|AL|WASHINGTON|Low Income Area/HPSA
35616|Cherokee|AL|COLBERT|Low Income Area/HPSA
35044|Childersburg|AL|TALLADEGA|Low Income Area/HPSA
36521|Chunchula|AL|MOBILE|Low Income Area/HPSA
36522|Citronelle|AL|MOBILE|Low Income Area/HPSA
35045|Clanton|AL|CHILTON|Low Income Area/HPSA
35046|Clanton|AL|CHILTON|Low Income Area/HPSA
36016|Clayton|AL|BARBOUR|Low Income Area/HPSA
35049|Cleveland|AL|BLOUNT|Low Income Area/HPSA
36017|Clio|AL|BARBOUR|Low Income Area/HPSA
36317|Clopton|AL|HENRY|Low Income Area/HPSA
36523|Coden|AL|MOBILE|Low Income Area/HPSA
36318|Coffee Springs|AL|GENEVA|Low Income Area/HPSA
36524|Coffeeville|AL|CLARKE|Low Income Area/HPSA
35452|Coker|AL|TUSCALOOSA|HPSA
35961|Collinsville|AL|DE KALB|Low Income Area/HPSA
36319|Columbia|AL|HOUSTON|Low Income Area/HPSA
35051|Columbiana|AL|SHELBY|Low Income Area
36020|Coosada|AL|ELMORE|Low Income Area/HPSA
35550|Cordova|AL|WALKER|Low Income Area/HPSA
35453|Cottondale|AL|TUSCALOOSA|HPSA
36320|Cottonwood|AL|HOUSTON|Low Income Area/HPSA
35618|Courtland|AL|LAWRENCE|Low Income Area/HPSA
36321|Cowarts|AL|HOUSTON|Low Income Area/HPSA
36435|Coy|AL|WILCOX|Low Income Area/HPSA
36255|Cragford|AL|CLAY|Low Income Area/HPSA
35053|Crane Hill|AL|CULLMAN|Low Income Area/HPSA
36525|Creola|AL|MOBILE|Low Income Area/HPSA
35054|Cropwell|AL|ST. CLAIR|Low Income Area
35962|Crossville|AL|DE KALB|Low Income Area/HPSA
36907|Cuba|AL|SUMTER|Low Income Area/HPSA
35055|Cullman|AL|CULLMAN|Low Income Area/HPSA
35057|Cullman|AL|CULLMAN|Low Income Area/HPSA
35058|Cullman|AL|CULLMAN|Low Income Area/HPSA
36852|Cusseta|AL|LEE|Low Income Area/HPSA
36853|Dadeville|AL|TALLAPOOSA|Low Income Area/HPSA
36322|Daleville|AL|DALE|Low Income Area/HPSA
35619|Danville|AL|LAWRENCE|Low Income Area/HPSA
36528|Dauphin Island|AL|MOBILE|Low Income Area/HPSA
36256|Daviston|AL|TALLAPOOSA|Low Income Area
35963|Dawson|AL|DE KALB|Low Income Area/HPSA
36022|Deatsville|AL|ELMORE|HPSA
35601|Decatur|AL|MORGAN|Low Income Area/HPSA
35603|Decatur|AL|MORGAN|HPSA
36529|Deer Park|AL|WASHINGTON|Low Income Area/HPSA
36258|Delta|AL|CLAY|Low Income Area/HPSA
36732|Demopolis|AL|MARENGO|Low Income Area/HPSA
35552|Detroit|AL|MARION|Low Income Area/HPSA
36436|Dickinson|AL|CLARKE|Low Income Area/HPSA
36736|Dixons Mills|AL|MARENGO|Low Income Area/HPSA
35061|Dolomite|AL|JEFFERSON|Low Income Area
35062|Dora|AL|JEFFERSON|Low Income Area/HPSA
36301|Dothan|AL|HOUSTON|Low Income Area/HPSA
36303|Dothan|AL|HOUSTON|Low Income Area/HPSA
36305|Dothan|AL|HOUSTON|HPSA
35553|Double Springs|AL|WINSTON|Low Income Area/HPSA
36028|Dozier|AL|COVINGTON|Low Income Area/HPSA
35456|Duncanville|AL|TUSCALOOSA|HPSA
35744|Dutton|AL|JACKSON|Low Income Area/HPSA
36260|Eastaboga|AL|CALHOUN|Low Income Area/HPSA
35457|Echola|AL|TUSCALOOSA|Low Income Area/HPSA
36024|Eclectic|AL|ELMORE|HPSA
36613|Eight Mile|AL|MOBILE|Low Income Area/HPSA
36323|Elba|AL|COFFEE|Low Income Area/HPSA
36530|Elberta|AL|BALDWIN|Low Income Area/HPSA
35554|Eldridge|AL|FAYETTE|Low Income Area/HPSA
35620|Elkmont|AL|LIMESTONE|Low Income Area/HPSA
36025|Elmore|AL|ELMORE|Low Income Area/HPSA
35458|Elrod|AL|TUSCALOOSA|HPSA
35459|Emelle|AL|SUMTER|Low Income Area/HPSA
35063|Empire|AL|WALKER|Low Income Area/HPSA
36330|Enterprise|AL|COFFEE|Low Income Area/HPSA
35460|Epes|AL|SUMTER|Low Income Area/HPSA
36026|Equality|AL|COOSA|HPSA
35745|Estillfork|AL|JACKSON|Low Income Area/HPSA
35461|Ethelsville|AL|PICKENS|Low Income Area/HPSA
36027|Eufaula|AL|BARBOUR|Low Income Area/HPSA
35462|Eutaw|AL|GREENE|Low Income Area/HPSA
35621|Eva|AL|MORGAN|Low Income Area/HPSA
35746|Fackler|AL|JACKSON|Low Income Area/HPSA
35064|Fairfield|AL|JEFFERSON|Low Income Area/HPSA
36532|Fairhope|AL|BALDWIN|HPSA
35622|Falkville|AL|MORGAN|Low Income Area/HPSA
36738|Faunsdale|AL|MARENGO|Low Income Area/HPSA
35555|Fayette|AL|FAYETTE|Low Income Area/HPSA
36029|Fitzpatrick|AL|MACON|Low Income Area/HPSA
36855|Five Points|AL|CHAMBERS|Low Income Area/HPSA
35966|Flat Rock|AL|JACKSON|Low Income Area/HPSA
36441|Flomaton|AL|ESCAMBIA|Low Income Area/HPSA
36442|Florala|AL|COVINGTON|Low Income Area/HPSA
35630|Florence|AL|LAUDERDALE|Low Income Area/HPSA
35633|Florence|AL|LAUDERDALE|Low Income Area/HPSA
35634|Florence|AL|LAUDERDALE|HPSA
36535|Foley|AL|BALDWIN|Low Income Area/HPSA
36030|Forest Home|AL|BUTLER|Low Income Area/HPSA
36740|Forkland|AL|GREENE|Low Income Area/HPSA
36031|Fort Davis|AL|MACON|Low Income Area/HPSA
36032|Fort Deposit|AL|LOWNDES|Low Income Area/HPSA
36856|Fort Mitchell|AL|RUSSELL|Low Income Area/HPSA
35967|Fort Payne|AL|DE KALB|Low Income Area/HPSA
35968|Fort Payne|AL|DE KALB|Low Income Area/HPSA
36362|Fort Rucker|AL|DALE|Low Income Area/HPSA
35463|Fosters|AL|TUSCALOOSA|HPSA
36444|Franklin|AL|MONROE|Low Income Area/HPSA
36538|Frankville|AL|WASHINGTON|Low Income Area/HPSA
36445|Frisco City|AL|MONROE|Low Income Area/HPSA
36539|Fruitdale|AL|WASHINGTON|Low Income Area/HPSA
36262|Fruithurst|AL|CLEBURNE|Low Income Area/HPSA
36446|Fulton|AL|CLARKE|Low Income Area/HPSA
35971|Fyffe|AL|DE KALB|Low Income Area/HPSA
35901|Gadsden|AL|ETOWAH|Low Income Area/HPSA
35903|Gadsden|AL|ETOWAH|Low Income Area/HPSA
35904|Gadsden|AL|ETOWAH|Low Income Area
35906|Gadsden|AL|ETOWAH|Low Income Area
36540|Gainestown|AL|CLARKE|Low Income Area/HPSA
35464|Gainesville|AL|SUMTER|Low Income Area/HPSA
35972|Gallant|AL|ETOWAH|Low Income Area
36742|Gallion|AL|MARENGO|Low Income Area/HPSA
36038|Gantt|AL|COVINGTON|Low Income Area
35973|Gaylesville|AL|CHEROKEE|Low Income Area/HPSA
36340|Geneva|AL|GENEVA|Low Income Area/HPSA
36033|Georgiana|AL|BUTLER|Low Income Area/HPSA
35974|Geraldine|AL|DE KALB|Low Income Area/HPSA
36908|Gilbertown|AL|CHOCTAW|Low Income Area/HPSA
36034|Glenwood|AL|CRENSHAW|Low Income Area/HPSA
35072|Goodwater|AL|COOSA|Low Income Area/HPSA
35466|Gordo|AL|PICKENS|Low Income Area/HPSA
36343|Gordon|AL|HOUSTON|Low Income Area/HPSA
36035|Goshen|AL|PIKE|Low Income Area/HPSA
36036|Grady|AL|MONTGOMERY|Low Income Area/HPSA
36263|Graham|AL|RANDOLPH|Low Income Area/HPSA
36541|Grand Bay|AL|MOBILE|Low Income Area/HPSA
35747|Grant|AL|MARSHALL|Low Income Area/HPSA
35073|Graysville|AL|JEFFERSON|Low Income Area
36744|Greensboro|AL|HALE|Low Income Area/HPSA
36037|Greenville|AL|BUTLER|Low Income Area/HPSA
36451|Grove Hill|AL|CLARKE|Low Income Area/HPSA
35975|Groveoak|AL|DE KALB|Low Income Area/HPSA
35563|Guin|AL|MARION|Low Income Area/HPSA
36542|Gulf Shores|AL|BALDWIN|Low Income Area/HPSA
35976|Guntersville|AL|MARSHALL|Low Income Area/HPSA
35748|Gurley|AL|MADISON|Low Income Area/HPSA
35564|Hackleburg|AL|MARION|Low Income Area/HPSA
35565|Haleyville|AL|WINSTON|Low Income Area/HPSA
35570|Hamilton|AL|MARION|Low Income Area/HPSA
35077|Hanceville|AL|CULLMAN|Low Income Area/HPSA
36039|Hardaway|AL|MACON|Low Income Area/HPSA
35078|Harpersville|AL|SHELBY|Low Income Area
36344|Hartford|AL|GENEVA|Low Income Area/HPSA
35640|Hartselle|AL|MORGAN|Low Income Area/HPSA
35749|Harvest|AL|MADISON|HPSA
36858|Hatchechubbee|AL|RUSSELL|Low Income Area/HPSA
35079|Hayden|AL|BLOUNT|HPSA
36040|Hayneville|AL|LOWNDES|Low Income Area/HPSA
36345|Headland|AL|HENRY|HPSA
36264|Heflin|AL|CLEBURNE|Low Income Area/HPSA
35978|Henagar|AL|DE KALB|Low Income Area/HPSA
35979|Higdon|AL|DE KALB|Low Income Area/HPSA
36041|Highland Home|AL|CRENSHAW|Low Income Area/HPSA
35643|Hillsboro|AL|LAWRENCE|Low Income Area/HPSA
35571|Hodges|AL|FRANKLIN|Low Income Area/HPSA
35083|Holly Pond|AL|CULLMAN|Low Income Area/HPSA
35751|Hollytree|AL|JACKSON|Low Income Area/HPSA
35752|Hollywood|AL|JACKSON|Low Income Area/HPSA
36042|Honoraville|AL|CRENSHAW|Low Income Area/HPSA
36043|Hope Hull|AL|MONTGOMERY|Low Income Area/HPSA
35980|Horton|AL|MARSHALL|Low Income Area/HPSA
35572|Houston|AL|WINSTON|Low Income Area/HPSA
35805|Huntsville|AL|MADISON|Low Income Area/HPSA
35810|Huntsville|AL|MADISON|Low Income Area/HPSA
35816|Huntsville|AL|MADISON|Low Income Area/HPSA
35808|Huntsville|AL|MADISON|Low Income Area
35898|Huntsville|AL|MADISON|Low Income Area
35801|Huntsville|AL|MADISON|HPSA
35802|Huntsville|AL|MADISON|HPSA
35806|Huntsville|AL|MADISON|HPSA
35811|Huntsville|AL|MADISON|HPSA
36860|Hurtsboro|AL|RUSSELL|Low Income Area/HPSA
35981|Ider|AL|DE KALB|Low Income Area/HPSA
36544|Irvington|AL|MOBILE|Low Income Area/HPSA
36910|Jachin|AL|CHOCTAW|Low Income Area/HPSA
36346|Jack|AL|COFFEE|Low Income Area
36545|Jackson|AL|CLARKE|Low Income Area/HPSA
36861|Jacksons Gap|AL|TALLAPOOSA|Low Income Area
36265|Jacksonville|AL|CALHOUN|Low Income Area/HPSA
35501|Jasper|AL|WALKER|Low Income Area/HPSA
35503|Jasper|AL|WALKER|Low Income Area/HPSA
35504|Jasper|AL|WALKER|Low Income Area/HPSA
35085|Jemison|AL|CHILTON|Low Income Area/HPSA
36749|Jones|AL|DALLAS|Low Income Area/HPSA
35087|Joppa|AL|CULLMAN|Low Income Area/HPSA
35089|Kellyton|AL|COOSA|Low Income Area/HPSA
